running run
jumps jump
jumped jump
better good
cars car
wolves wolf
children child
studies study
studying study
went go
bought buy
ate eat
mice mouse
feet foot
geese goose
men man
women woman
leaves leaf
knives knife
lives life
halves half
wives wife
elves elf
calves calf
loaves loaf
potatoes potato
tomatoes tomato
cacti cactus
fungi fungus
nuclei nucleus
foci focus
focuses focus
flies fly
dies die
tries try
cries cry
parties party
babies baby
heroes hero
potatoes potato
volcanoes volcano
echoes echo
torpedoes torpedo
pianos piano
photos photo
roofs roof
beliefs belief
chiefs chief
thieves thief
selves self
oxen ox
deer deer
sheep sheep
series series
species species
aircraft aircraft
data datum
media medium
alumni alumnus
criteria criterion
formulae formula
appendices appendix
indices index
matrices matrix
theses thesis
analyses analysis
syntheses synthesis
hypotheses hypothesis
diagnoses diagnosis
oases oasis
phenomena phenomenon
stimuli stimulus
viri virus
algae alga
bases base
bureaux bureau
nerves nerve
corpora corpus
stadia stadium
larvae larva
antennae antenna
radii radius
memories memory
stories story
